"Country","Region","meanGDP","meanSocialSupport","meanGenerosity","meanCorruption","meanLifeExpectancy","meanFreedom"
"Kuwait","Middle East and Northern Africa",1.57101826333824,1.12599982169857,0.149871361237763,0.162594310413648,0.697398080140282,0.538531126450222
"Kyrgyzstan","Central and Eastern Europe",0.619890130885517,1.22184565852427,0.308696389190703,0.0328557337504048,0.611934209946705,0.540056394212561
"Laos","Southeastern Asia",0.788110549142857,0.798731698428571,0.298053872857143,0.194570566285714,0.459911183142857,0.603516755285714
"Latvia","Central and Eastern Europe",1.2606430093502,1.25649796637231,0.113649091383376,0.0781817813309817,0.685919924353149,0.345697089930634
"Lebanon","Middle East and Northern Africa",1.06269250583854,0.94162094594387,0.18505561246195,0.044807747095963,0.743866526577751,0.259059081876507
"Lesotho","Sub-Saharan Africa",0.514629998130014,1.04043788717622,0.118000701985058,0.076088351859508,0.0615792587142857,0.389099833032667
"Liberia","Sub-Saharan Africa",0.185550600006048,0.764507733201397,0.226970969534123,0.0501160156339796,0.308482808849671,0.363201784804022
"Libya","Middle East and Northern Africa",1.10888085391829,1.13002850351263,0.14183142068167,0.141436036147535,0.578704456587387,0.450435910889248
"Lithuania","Central and Eastern Europe",1.31419649935873,1.31736773070069,0.036064462209544,0.0399657396066352,0.700923890400577,0.333800321867471
"Luxembourg","Western Europe",1.7106312058492,1.28271651060597,0.213898112734308,0.349393236627357,0.881736522522755,0.608536867007961
"Madagascar","Sub-Saharan Africa",0.313767737646318,0.729734340048843,0.185706574309333,0.0788475766869769,0.423767541975206,0.186105539302853
"Malawi","Sub-Saharan Africa",0.206388345662207,0.393659615180473,0.240289440845112,0.101219450750929,0.345939110049614,0.46676806084726
"Malaysia","Southeastern Asia",1.27073963072116,1.07164104053009,0.311373136329262,0.0745729801408777,0.682362037455353,0.507719564182741
"Maldives","Southern Asia",1.026432152,1.208643801,0.214099126,0.072453246,0.8057197795,0.5616018235
"Mali","Sub-Saharan Africa",0.417037892853954,0.945525641026077,0.166955156116581,0.0811383153191776,0.20683089953216,0.347019774038151
"Malta","Western Europe",1.36625164094525,1.32514857362035,0.399475175760586,0.160666268235964,0.862918282594421,0.615949510337097
"Mauritania","Sub-Saharan Africa",0.643640272592758,1.01523179992291,0.152953711025532,0.133171829958291,0.357458011955263,0.170991565753068
"Mauritius","Sub-Saharan Africa",1.17417368711414,1.15604847854169,0.254847287733481,0.0708137230227177,0.674598358878086,0.545649432516954
"Mexico","Latin America and Caribbean",1.13739891210793,1.04466320734113,0.0986468647248577,0.123072222826096,0.743306252713421,0.492940320170465
"Moldova","Central and Eastern Europe",0.808379678283035,1.10759222113252,0.172913538800715,0.0125812537690751,0.617764331737629,0.348062567106019
